"A1001","ADARSHA VIDYAMANDIR"
"B3161","GABBERIA KALICHARAN & SIBANI HIGH SCHOOL (CO-ED)"
"B3162","PANCHANAN DALAL INSTT (CO-ED)"
"B3163","BARGHARIA G G P T HIGH SCHOOL"
"B3164","NOAPARA KALINAGAR HIGH SCHOOL"
"B3165","BELER DHANYA KURIA BALIKA VIDYALAYA"
"B3166","DWARIR JANGAL BANAMALI VIDYABHABAN"
"B3167","SANNIA ATGHARA (PURBA) DR ZAKIR HOSSAIN SIKSHANIKETAN"
"B3168","MANDRA HAZER ALI SMRITI VIDYAPITH"
"B3169","MAHISH PUKUR HIGH SCHOOL"
"B3170","KANMARI VIDYAMANDIR"
"B3171","CHARGHAT GIRLS' HIGH SCHOOL"
"B3172","VIDYASAGAR ACADEMY"
"B3173","ITINDA GIRLS HIGH SCHOOL"
"B3174","GAR-CHANDIBARI HIGH SCHOOL"
"B3175","M B S NEORA HIGH SCHOOL"
"B3176","DHANYAKURIA GIRLS' HIGH SCHOOL(BENGALI MEDIUM)"
"B3177","TONGTALA BOWTHAKURANI UTTAM CHANDRA VIDYALAYA(HIGH SCHOOL)"
"B3178","SRINAGAR ADARSHA PANCHAPALLY VIDYALAYA(HIGH SCHOOL)"
"B3179","BRAHMANANDA VIDYABHABAN(HIGH SCHOOL)"
"B3180","RAMESWARPUR NEHRU VIDYANIKETAN(HIGH SCHOOL)"
"B3181","NETAJI VIDYAPITH(HIGH SCHOOL)"
"B3182","BASIRHAT BARODA PRASAD VIDYAPITH GIRLS' HIGH SCHOOL"
"B3183","RAMPUR PRAMOD DASGUPTA SMRITI SHIKSHA NIKETAN(HIGH SCHOOL)"
"B3184","BERMAJUR TEBHANGA SAHID SMRITI VIDYALAYA(HIGH SCHOOL)"
"B3185","DURGAMANDAP SARDARPARA HIGH SCHOOL"
"B3186","DAKSHIN AKHRATALA RABINDRA SIKSHA NIKETAN(HIGH SCHOOL)"
"B3187","DHUCHNIKHALI NILAMBAR VIDYAPITH(HIGH SCHOOL)"
"B3188","KUMUDINI BALIKA VIDYALAYA(HIGH SCHOOL)"
"B3189","TAKI UTTARPALLI HIGH SCHOOL"
"B3190","SUKDOANI GABBERIA DAYAL CHAND VIDYAPITH(HIGH SCHOOL)"
"B3191","GOTRA HIGH SCHOOL"
"B3192","NABATKATI K M A C VIDYAPITH(HIGH SCHOOL)"
"B3193","BANKRA HIGH SCHOOL"
"B3194","P K S PRIYANATH HIGH SCHOOL"
"B3195","SUNDARBAN HIGH SCHOOL"
"B3196","BOWNIA PRABHASH ROY HIGH SCHOOL"
"B3197","JIRAKPUR DR SRIMANTA SIKSHANIKETAN(HIGH SCHOOL)"
"B3198","MAHESHPUR SARBAPALLI HIGH SCHOOL"
"B3199","JADURHATI RABINDRA BALIKA VIDYALAYA(HIGH SCHOOL)"
"B3200","DHALTITHA MILAN MANDIR HIGH SCHOOL"
"B3201","GABORDA HIGH SCHOOL"
"B3202","DURGAPUR HIGH SCHOOL"
"B3203","JHURULI ADARSHA VIDYAPITH(HIGH SCHOOL)"
"B3204","DURGAPUR BAILANI HIGH SCHOOL"
"B3205","BASIRHAT RAYBATI PANCHANAN HIGH SCHOOL"
"B3206","KENARAM SMRITI VIDYAMANDIR(HIGH SCHOOL)"
"B3207","MADHYAMPUR GULAICHANDI HIGH SCHOOL"
"B3208","DAKSHIN AKHRATALA KHUDIRAM BHATTACHARYA HIGH SCHOOL"
"B3209","ANKIPUR ANDULPOTA HIGH SCHOOL"
"B3210","SANDESHKHALI BHAGABATI DEVI BALIKA VIDYALAYA(HIGH SCHOOL)"
"B3211","AL-MUSTAFA-MISSION(GIRL'S HIGH SCHOOL)"
"B3212","SADARPUR HIGH SCHOOL"
"B4001","AMBIKAPUR ALTAF HUSSAIN HIGH SCHOOL"
"B4002","AMDOBE HIGH SCHOOL"
"B4003","ANGRAIL VIDYAMANDIR"
"B4004","BAGDAH HIGH SCHOOL"
"B4005","BAIRAMPUR HIGH SCHOOL"
"B4006","BAJITPUR HIGH SCHOOL"
"B4007","BAKSA HIGH SCHOOL"
"B4008","BALLAVPUR BISWAMBHAR VIDYAPITH"
"B4009","BANGLANI HIGH SCHOOL."
"B4010","BEARA HIGH SCHOOL"
"B4011","BERI GOPALPUR ADARSHA VIDYALAYA"
"B4012","BHABANIPUR PALLIMANGAL VIDYAPITH"
"B4013","BISHNUPUR NIRMALA PROVA HIGH SCHOOL"
"B4014","BONGAON GHOSH INSTITUTION"
"B4015","BONGAON HIGH SCHOOL"
"B4016","BONGAON KAVI KESHABLAL VIDYAPITH"
"B4017","BYASPUR HIGH SCHOOL"
"B4018","CHANDA LALITMOHON HIGH SCHOOL"
"B4019","CHANDPARA BANI VIDYABITHI"
"B4020","CHANDPARA DHAKURIA HIGH SCHOOL"
"B4021","CHARMONDAL C.M.P.P.B.K. FULMOHAN HIGH SCHOOL"
"B4022","CHHOYGHORIA RAKHALDAS HIGH SCHOOL"
"B4024","CHOWBERIA DINABANDHU VIDYALAYA"
"B4025","CHOWGACHHA MODEL ACADEMY"
"B4026","DEOPUL ADHAR MEMORIAL HIGH SCHOOL"
"B4027","DIGHARI BASAN CHANDRA HIGH SCHOOL"
"B4028","GAIGHATA HIGH SCHOOL"
"B4029","GANRAPOTA HIGH SCHOOL"
"B4030","GHATBAOR ANCHAL ADARSHA VIDYALAYA."
"B4031","GHONJA HIGH SCHOOL"
"B4032","GOPALNAGAR HARIPADA INSTITUTION"
"B4033","HELENCHA HIGH SCHOOL"
"B4034","ICHAPUR HIGH SCHO0L"
"B4035","JALESWAR HIGH SCHOOL"
"B4036","JHOWDANGA SAMMILANI HIGH SCHOOL"
"B4038","JHIKRA HIGH SCHOOL."
"B4039","KALASIMA SWAMI VIVEKANANDA BIDYAPITH"
"B4040","KALITALA VISWABANDHU SIKSHANIKETAN"
"B4041","KALUPUR PANCHPOTA HIGH SCHOOL"
"B4042","MALIDAHA HIGH SCHOOL"
"B4043","MANDALPARA HIGH SCHOOL"
"B4044","MANIGRAM HIGH SCHOOL"
"B4045","NAHATA HIGH SCHOOL"
"B4046","NEW BONGAON HIGH SCHOOL"
"B4047","PALLA KALIPADA CHAKRABORTY HIGHER SECONDARY SCHOOL"
"B4048","PANCHAGRAM HIGH SCHOOL"
"B4049","PANCHPOTA BHARADANGA HIGH SCHOOL"
"B4050","RAJAPUR TANGRA RAMPUR HIGH SCHOOL"
"B4051","RAMCHANDRAPUR PALLIMANGAL VIDYAPITH"
"B4052","RANGHAT ANCHAL HIGH SCHOOL"
"B4053","RANIHATI HIGH SCHOOL"
"B4054","SAKTIGARH HIGH SCHOOL"
"B4055","SIMULPUR ANANDAPARA NARAHARI VIDYAPITH"
"B4056","SINDRANI SABITRI HIGH SCHOOL"
"B4057","SRIPALLI PRIYANATH HIGH SCHOOL"
"B4058","TANGRA COLONY HIGH SCHOOL"
"B4059","TARANGAHATI HIGH SCHOOL"
"B4060","THAKURNAGAR HIGH SCHOOL"
"B4061","THOARA HIGH SCHOOL."
"B4062","BONGAON KUMUDINI UCHCHA BALIKA VIDYALAYA"
"B4063","CHANDPARA BALIKA VIDYALAYA"
"B4064","CHHAIGHARIA THAKUR HARIDAS BALIKA VIDYALAYA"
"B4065","DHAKURIA BALIKA VIDYALAYA"
"B4066","GAIGHATA BENIMADHAB BALIKA VIDYALAYA"
"B4067","GANRAPOTA GIRLS HIGH SCHOOL"
"B4068","GOBARDANGA ICHAPUR M N G S BALIKA VIDYALAYA"
"B4069","GOPALNAGAR GIRIBALA BALIKA VIDYALAYA"
"B4070","HELENCHA GIRLS HIGH SCHOOL"
"B4071","NAHATA SARADA SUNDARI BALIKA VIDYAMANDIR"
"B4072","NEW BONGAON GIRLS HIGH SCHOOL"
"B4073","SUBHASNAGAR GOURI SUNDARI BALIKA VIDYABITHI"
"B4074","THAKURNAGAR BALIKA VIDYALAYA"
"B4075","ADITYAPUR HIGH SCHOOL"
"B4076","SATBERIA HIGH SCHOOL"
"B4077","AKAIPUR NABAGOPAL HIGH SCHOOL"
"B4078","NARAHARIPUR SARADA CHARAN VIDYAPITH(HIGH)"
"B4079","ASIT BISWAS SIKSHANIKETAN"
"B4080","MAMA BHAGINA BAPUJEE VIDYAPITH"
"B4081","KEUTIPARA J N ROY HIGH SCHOOL"
"B4083","GOALBAGI KHAGENDRA NATH VIDYANIKETAN (CO-ED)"
"B4084","KASHIPUR GRAM SAVA HIGH SCHOOL (CO-ED)"
"B4085","KHARUA RAJAPUR HIGH SCHOOL (CO-ED)"
"B4086","KAPASHATI MILAN BITHI HIGH SCHOOL (CO-ED)"
"B4087","PURATAN BONGAON HIGH SCHOOL (CO-ED)"
"B4088","BELTA HIGH SCHOOL (CO-ED)"
"B4089","MADHABPUR HIGH SCHOOL (CO-ED)"
"B4090","CHAMPABERIA HIGH SCHOOL (CO-ED)"
"B4091","TENTULBERIA P G T SUNITY VIDYAPITH"
"B4092","JAGADISHPUR PANCHKORI VIDYAPITH"
"B4093","BONGAON KALICHARAN HOWLADAR BALIKA VIDYAPITH (GIRLS)"
"B4094","SUTIA BARASAT PALLIUNNAYAN VIDYAPITH"
"B4095","SABAIPUR ADARSHA VIDYAPITH"
"B4096","BONGAON JOGENDRANATH VIDYAPITH"
"B4097","KURULIA HIGH SCHOOL"
"B4098","NAGENDRA NATH VIDYAPITH"
"B4099","NALDUGARI PARMADAN CHANDRA KANTA VIDYAPITH(HIGH SCHOOL)"
"B4100","RAMSANKARPUR HIGH SCHOOL"
"B4101","MANIKKOLE HIGH SCHOOL"
"B4102","NUTANGRAM SUBHASINI HIGH SCHOOL"
"B4103","CHOWBERIA ANNADA SUNDARI MITRA BALIKA VIDYALAYA"
"B4104","T S D MONMOHANPUR HIGH SCHOOL"
"B4105","AULDANGA AMULYADHAN ROY VIDYAPITH(HIGH SCHOOL)"
"B4106","BOYRA SAMMILANI HIGH SCHOOL(BENG MED,CO-ED)"
"B4107","UTTAR FULSARA HIGH SCHOOL"
"B4108","DEBGARH HIGH SCHOOL"
"B4109","KANIARA JADAV CHANDRA HIGH SCHOOL"
"B4110","KAYA PIR ABDUR SOBAHAN HIGH SCHOOL"
"B4111","SINGJOLE AMALENDU VIDYAPITH(HIGH SCHOOL)"
"B4112","SUBHAS NAGAR JIBAN SMRITI INSTITUTION(HIGH SCHOOL)"
"B4113","BORA HIGH SCHOOL"
"B4114","MAHISHAKATI NETAJI SUBHAS CHANDRA HIGH SCHOOL"
"B4115","HELENCHA VIDYASAGAR MODEL SCHOOL(HIGH SCHOOL)"
"C1001","AKRA KRISHNA NAGAR HIGH SCHOOL"
"C1002","AKRA SAKTIGARH RABINDRA VIDYAPITH"
"C1003","ALIPUR TAKSHAL VIDYAPITH"
"C1004","AMBIKA NAGAR HARIPRIYA HIGH SCHOOL"
"C1005","ABHOY CHARAN VIDYAPITH(H S)"
"C1006","AMRITNAGAR HIGH SCHOOL"
"C1007","ARIAPARA HIGH SCHOOL"
"C1008","ASHUTI NETAJI HIGH SCHOOL"
"C1009","BADARTALA HIGH SCHOOL"
"C1010","BAHARU HIGH SCHOOL"
"C1011","BAIDYAPARA HIGH SCHOOL"
"C1012","BAIKUNTHAPUR HIGH SCHOOL"
"C1013","BAKHRAHAT HIGH SCHOOL"
"C1014","BALARAMPUR MANMATHANATH VIDYAMANDIR"
"C1015","BALI DHANAMANI MODEL HIGH SCHOOL"
"C1016","BAMANGHATA HIGH SCHOOL"
"C1017","BANGLA JATIYA SHIKSHA MANDIR"
"C1018","BANI NIKETAN HIGH SCHOOL"
"C1019","BANSDRONI CHAKDAH VIDYAMANDIR(CO-ED)"
"C1020","BARATALA POALI HIGH SCHOOL"
"C1021","BARISA ASAR VIDYAPITH"
"C1022","BARISA HIGH SCHOOL"
"C1023","BARISHA VIVEKANANDA HIGH SCHOOL(H.S.)"
"C1024","BARISHA PURBAPARA HIGH SCHOOL"
"C1025","BARISHA SASHI BHUSAN JANAKALYAN VIDYAPITH"
"C1026","BARTALA MADHYAMIK VIDYALAYA"
"C1027","BARUIPUR HIGH SCHOOL"
"C1028","BASANTI HIGH SCHOOL"
"C1029","BASANTI ST. XAVIER'S HIGH SCHOOL"
"C1030","BASUDEVPUR HIGH SCHOOL"
"C1031","BATANAGAR HIGH SCHOOL"
"C1032","BATANAGAR SRI RAMKRISHNA ASHRAM VIVEKANANDA VIDYAMANDIR"
"C1033","BAWALI HIGH SCHOOL"
"C1034","BEGAMPUR JNANADA PROSAD INSTITUTION"
"C1035","BEHALA ARYYA VIDYAMANDIR"
"C1036","BEHALA AZAD HIND VIDYALAYA"
"C1037","BEHALA HIGH SCHOOL"
"C1038","BEHALA ISWAR CHANDRA MITRA VIDYALAYA"
"C1040","BEHALA PARNASREE VIDYAMANDIR"
"C1041","BEHALA SIKSHAYATAN"
"C1042","BEJOYNAGAR ADARSHA VIDYAMANDIR"
"C1043","BENGALI BAZAR HIGH SCHOOL"
"C1044","BHAGOWANPUR HIGH SCHOOL"
"C1045","BHANGAR HIGH SCHOOL"
"C1046","BHERI BHETKAKHALI HIGH SCHOOL"
"C1047","BHUBANESWARI JAYKRISHNA HIGH SCHOOL"
"C1048","BIPRADASPUR HIGH SCHOOL"
"C1049","BIRLAPUR VIDYALAYA"
"C1051","BISHNUPUR SIKSHA SANGHA"
"C1052","BODRA HIGH SCHOOL"
"C1053","BORAL HIGH SCHOOL"
"C1054","BORAL SWAMIJI VIDYAPITH HIGH SCHOOL"
"C1055","BRATACHARIGRAM BRATACHARI VIDYASRAM"
"C1056","BRIJI A.T.NASKAR HIGH SCHOOL"
"C1057","BUDGE BUDGE PRANKRISHNA HIGH SCHOOL"
"C1058","BURUL HIGH SCHOOL"
"C1059","CALCUTTA BLIND SCHOOL"
"C1060","CANNING DAVID SASSOON HIGH SCHOOL"
"C1061","CANNING ST.GABRIELS HIGH SCHOOL"
"C1062","CARMEL HIGH SCHOOL FOR GIRLS"
"C1063","CENTRAL SATJELIA M C HIGH SCHOOL"
"C1064","CHAKPANCHGHORA SITANATH HIGH SCHOOL"
"C1065","CHALTABERIA HIGH SCHOOL"
"C1066","CHAMPAHATI NILMONI KAR VIDYALAYA"
"C1067","CHANDANESWAR HIGH SCHOOL"
"C1068","CHANDIPUR RANGASARA HIGH SCHOOL"
"C1069","CHATTA SUBID ALI INSTITUTE"
"C1070","MONGAL CHANDRA VIDYAPITH"
"C1071","CHOWBAGA HIGH SCHOOL"
"C1072","CHOWHATI HIGH SCHOOL"
"C1073","DAKSHIN BARASAT SIBDAS ACHARYA HIGH SCHOOL"
"C1074","DAKSHIN RADHANAGAR SRI GOURANGA HIGH SCHOOL"
"C1075","DARA ADARSHA BIDYAMANDIR"
"C1076","DARIA JAMUNA LAKSHMI NARAYAN VIDYALAYA"
"C1077","DAYAPUR P.C.SEN HIGH SCHOOL"
"C1078","DEBIPUR HUKAHARANI MILAN VIDYAPITH"
"C1079","DESHBANDHU PALLI SEVA SANGHA SANTOSH KUMARI SIKSHANIKETAN"
"C1080","DEWANGANJ A.K.HIGH SCHOOL"
"C1081","DHANKHETI HIGH SCHOOL"
"C1082","DHAPDHAPI HIGH SCHOOL"
"C1083","DHOSA CHANDANESWAR N.C.HIGH SCHOOL"
"C1084","DURGAPUR KRISHNA CHANDRA HIGH SCHOOL"
"C1085","FULMALANCHA HRITU BHAKAT HIGH SCHOOL (H.S.)"
"C1086","FUTIGODA HIGH SCHOOL"
"C1087","GANDHABADULI AGHORE KAMINI INSTITUTION"
"C1088","GANGAPURI SIKSHA SADAN"
"C1089","GANIPUR HIGH SCHOOL"
"C1090","GARDEN REACH KESORAM COTTON MILLS H SCHOOL"
"C1091","GARDEN REACH M. VIDYALAYA"
"C1092","GARDEN REACH MUDIALI HIGH SCHOOL"
"C1093","GARDEN REACH NUTBEHARI DAS HIGH SCHOOL"
"C1094","GARFA DHIRENDRANATH MEMORIAL HIGH SCHOOL"
"C1095","GARIA BARADAPRASAD HIGH SCHOOL"
"C1096","GHASIARA VIDYAPITH"
"C1097","GHATAKPUKUR HIGH SCHOOL"
"C1098","GHATIHARANIA HIGH SCHOOL"
"C1099","GHOLA UCHCHA VIDYALAYA"
"C1100","GHUTIARISHAREFF B M VIDYAPITH"
"C1101","GOBINDAPUR RATNESWAR HIGH SCHOOL"
"C1102","GOBINDAPUR UNION SIKSHANIKETAN"
"C1103","GOPALPUR SIKSHANIKETAN"
"C1104","GORAGACHA SISHUBHARATI HIGH SCHOOL"
"C1105","GOSABA RURAL RECONSTRUCTION GOVT.SPON.INSTN."
"C1106","GOTALAHAT SASIBHUSAN HIGH SCHOOL"
"C1107","GOURNAGAR HIGH SCHOOL"
"C1108","GREENPARK SIKSHA SADAN HIGH SCHOOL"
"C1109","HALTU ARYA VIDYALAYA"
"C1110","HALTU HIGH SCHOOL"
"C1111","HARINAVI D.V.A.S. HIGH SCHOOL"
"C1112","HASNECHA HIGH SCHOOL"
"C1113","HATGACHA HARIDAS VIDYAPITH"
"C1114","HEROBHANGA VIDYASAGAR VIDYAMANDIR"
"C1115","HOMRAPALTA HIGH SCHOOL"
"C1116","HOWRAMARI HIGH SCHOOL"
"C1117","HOWRI DINANATH HIGH SCHOOL"
"C1118","ITKHOLA RAJNARAYAN HIGH SCHOOL"
"C1119","JAFARPUR KASHINATH HIGH SCHOOL"
"C1120","JAGADDAL W.C HIGH SCHOOL"
"C1121","JAGATPUR RUKMINI VIDYAMANDIR"
"C1122","JAGTALA SURYA KUMAR VIDYALAYA"
"C1123","JAMTALA BHAGABAN CHANDRA HIGH SCHOOL"
"C1124","JANAPRIYANAGAR JANAPRIYA VIDYALAYA"
"C1125","JAYNAGAR INSTITUTION"
"C1126","JHANJRA HIGH SCHOOL"
"C1127","JOTE SHIBARAMPUR SIKSHANIKETAN"
"C1128","JOYNAGAR P C PAUL INSTITUTION"
"C1129","JULPIA ADHARMANIK HIGH SCHOOL"
"C1130","KACHIAMARA HEMCHANDRA HIGH SCHOOL"
"C1131","KACHUA HIGH SCHOOL"
"C1132","KALAGACHIA KAILASH KAMINI HIGH SCHOOL"
"C1133","KALIKAPUR RAMKAMAL VIDYAPITH"
"C1134","KALIKATALA MILAN VIDYAPITH"
"C1135","KALIPUR HIGH SCHOOL"
"C1136","KAMRABAD UCHCHA VIDYALAYA"
"C1137","KANKHULI HIGH SCHOOL"
"C1138","KARBALA HIGH SCHOOL"
"C1139","KASTE KUMARI HIGH SCHOOL"
"C1140","MAHENDRANATH HIGH SCHOOL"
"C1141","KEORAPUKUR C.N.I BOYS HIGH SCHOOL"
"C1142","KEYATALA HIGH SCHOOL"
"C1143","KHARAMBA BANI VIDYALAYA"
"C1144","KHARIBERIA VIVEKANANDA VIDYAPITH"
"C1145","KODALIA PRASANNABANGA HIGH SCHOOL"
"C1146","KOTALPUR MADHUSUDAN HIGH SCHOOL"
"C1147","KULARI CHHAYANI JANAPRIYA VIDYAMANDIR"
"C1148","KUMIRMARI HIGH SCHOOL"
"C1149","LANGALBERIA SURATH SMRITY VIDYAMANDIR"
"C1150","LASKARPUR VIDYASAGAR VIDYAPITH"
"C1151","MADARAT POPULAR ACADEMY"
"C1152","MADHABPUR JATIYA SIKSHALAYA  HIGH SCHOOL"
"C1153","MADHYA PURBA GURGURIA ADARSHA VIDYAPITH"
"C1154","MAHAMAYAPUR ADARSHA VIDYAPITH"
"C1155","MAHESHPUR JASODA VIDYAPITH"
"C1156","MAHESHTALA HIGH SCHOOL"
"C1157","MAJILPUR J.M.TRAINING SCHOOL"
"C1158","MALLICKPORE ABDUS SHOKUR HIGH SCHOOL"
"C1159","MANIPUR BANSTALA HIGH SCHOOL"
"C1160","MANMATHAPUR HIGH SCHOOL"
"C1161","MASJIDBATI PARBATI HIGH SCHOOL"
"C1162","MATHERDIGHI HIGH SCHOOL"
"C1163","MAZILPUR ATUL KRISHNA V.B. VIDYAPITH"
"C1164","MELIA RAICHARAN VIDYAPITH"
"C1165","METIABURJ  HIGH SCHOOL"
"C1166","MONIRTAT RAIMONI INSTITUTION"
"C1167","MORISWAR MOTILAL HIGH SCHOOL"
"C1168","MOUKHALI CHANDIBAN FANINDRA VIDYAMANDIR"
"C1169","MOYDAH HIGH SCHOOL"
"C1170","MUCHISAH HARIDAS K.S VIDYAPITH"
"C1171","MUKTAKESHI GOUR MOHAN DAS HIGH SCHOOL"
"C1172","NAFARGANJ BAIDYANATH VIDYAPITH"
"C1173","NALGORADHAM BAIKUNTHA VIDYAPITH"
"C1174","NALIAKHALI G.N.HARI NARAYANI VIDYAPITH"
"C1175","NANGI HIGH SCHOOL"
"C1176","NARAYANPUR AKSHOY VIDYAMANDIR"
"C1177","NARAYANTALA R.K VIDYAMANDIR"
"C1178","NARENDRAPUR R.K MISSION BLIND BOYS ACADEMY"
"C1179","NARENDRAPUR R.K MISSION VIDYALAYA"
"C1180","NARIDANA GHOSHPUR SUSHILKAR VIDYANIKETAN"
"C1181","NASKARPUR SUKANTA SIKSHANIKETAN"
"C1182","NAYABAD HIGH SCHOOL"
"C1183","NAYACHAK HIGH SCHOOL"
"C1184","NIMPITH RAMKRISHNA ASHRAM-TYPE HIGH SCHOOL (GOVT.SPONS.)"
"C1185","NIMPITH RAMKRISHNA VIDYABHAVAN"
"C1186","PADMAPUKUR MADHYA VIDYALAYA"
"C1187","PAIKPARA RAMKRISHNA HIGH SCHOOL"
"C1188","PANCHPOTA BADAN CHANDRA INDUMATI HIGH SCHOOL"
"C1189","PANCHUAKHALI HIGH SCHOOL"
"C1190","PARUI RADHAKRISHNA VIDYAPITH"
"C1191","PASCHIM GABBERIA HIGH SCHOOL"
"C1192","PASCHIM PUTIARY SUKHARANJAN VIDYAMANDIR"
"C1193","PATHANKHALI ADARSHA VIDYAPITH"
"C1194","PATHPUKUR HIGH SCHOOL"
"C1195","PIRTALA HIGH SCHOOL"
"C1196","POLERHAT HIGH SCHOOL"
"C1197","PRANTAPALLI HIGH SCHOOL"
"C1198","PRASAD PUR BHAGYADHAR VIDYANIKETAN"
"C1199","PRATAPNAGAR GIRIDHARI HIGH SCHOOL"
"C1200","PUJALI SIKSHANIKETAN"
"C1201","PURBA BARISHA HIGH SCHOOL"
"C1202","PUTIARY BRAJAMOHAN TEWARY INSTITUTION"
"C1203","RABINDRANAGAR KSHETRAMOHAN VIDYAMANDIR"
"C1204","RADHANAGAR JATINDRANATH SIKSHANIKETAN"
"C1205","RADHANAGAR KALIBARI HIGH SCHOOL"
"C1206","RAGHABPUR ST.PAUL'S HIGH SCHOOL"
"C1207","RAIBAGHINI HIGH SCHOOL"
"C1209","RAIPUR SRI SRI RAMKRISHNA AMRITA VIDYALAYA"
"C1210","RAJARAMPUR VIVEKANANDA VIDYAMANDIR"
"C1211","RAJAT JUBILEE HIGH SCHOOL"
"C1212","RAJIBPUR HIGH SCHOOL"
"C1213","RAJPUR VIDYANIDHI HIGH SCHOOL"
"C1214","RAMCHANDRANAGAR HIGH SCHOOL"
"C1216","RAMNAGAR HIGH SCHOOL"
"C1217","RANGABELIA HIGH SCHOOL"
"C1218","RANIA KULTUKARI HIGH SCHOOL"
"C1219","RANIGAR JYOTISHPUR HIGH SCHOOL"
"C1220","RASAPUNJA PRANKRISHNA HIGH SCHOOL"
"C1221","SAHAPUR HARENDRANATH VIDYAPITH"
"C1222","SAHAPUR MATHURANATH VIDYAPITH"
"C1223","SAMBHU NAGAR HIGH SCHOOL"
"C1224","SANGRAMI NAGAR VIDYAPITH HIGH SCHOOL"
"C1225","SANTIGACHHI HIGH SCHOOL"
"C1226","SANTOSHPUR GOVT.COLY.NETAJI SUBHAS VIDYALAYA"
"C1227","SANTOSHPUR VIDYAMANDIR FOR BOYS"
"C1228","SARANGABAD HIGH SCHOOL"
"C1229","SARSUNA HEMCHANDRA NASKAR VIDYAPITH"
"C1230","SARSUNA HIGH SCHOOL"
"C1231","SATJELIA NATABAR VIDYAYATAN"
"C1232","SATYANARAYANPUR SASHI BHUSAN HIGH SCHOOL"
"C1233","SHANKPUKUR HIGH SCHOOL"
"C1234","SHIBARAMPUR NANILAL VIDYAPITH"
"C1235","SITAKUNDU VIDYAYATAN"
"C1236","SODEPUR SREEMANTA VIDYAPITH"
"C1237","SONAKHALI HIGH SCHOOL"
"C1238","SONARPUR VIDYAPITH"
"C1239","SOUTH GARIA JADUNATH VIDYAMANDIR"
"C1240","SUNDARBAN ADARSHA VIDYANIKETAN"
"C1241","TALDI MOHAN CHAND HIGH SCHOOL"
"C1242","TANGRAKHALI PARASURAM JAMINI PRAN H SCHOOL"
"C1243","TARANAGAR B T C VIDYAMANDIR"
"C1244","TARANAGAR JOGENDRANATH HIGH SCHOOL"
"C1245","TARDAHA HIGH SCHOOL"
"C1246","TASARALA SARBERIA SANATAN HIGH SCHOOL"
"C1247","TENTULBERIA ANUKUL CHANDRA HIGH SCHOOL"
"C1248","UDAIRAMPUR PALLISREE SIKSHAYATAN"
"C1249","VIDYANAGAR MULTIPURPOSE SCHOOL"
"C1250","VIVEKANANDAPALLI KISHORE BHARATI HIGH SCHOOL"
"C1251","ACHARAYA PRAFULLA NAGAR ATULKRISHNA ROY VIDYAYATAN(GIRLS)"
"C1252","AKRA KRISHNANAGAR BALIKA VIDYALAYA"
"C1253","AMIYA BALA BALIKA VIDYALAYA"
"C1254","AMTALA NIVEDITA BALIKA VIDYALAYA"
"C1255","BADARTALA MADHYAMIK BALIKA VIDYAMANDIR"
"C1256","BAHARU GIRLS HIGH SCHOOL"
"C1257","BAIDYAPARA GIRLS HIGH SCHOOL"
"C1258","BAKHRAHAT GIRLS HIGH SCHOOL"
"C1259","BALIA NAFAR CHANDRA BALIKA VIDYALAYA"
"C1260","BANSDRONI BENOY BALIKA VIDYALAYA"
"C1262","BARISA GIRLS HIGH SCHOOL"
"C1263","BARISA JANAKALYAN VIDYAPITH FOR GIRLS"
"C1264","UCHCHA BALIKA VIDYAMANDIR"
"C1265","BARISHA ASHAR VIDYAPITH FOR GIRLS"
"C1266","CHILDREN'S WELFARE ASSOCIATION HIGH SCHOOL FOR GIRLS"
"C1267","BARISHA VIVEKANANDA GIRLS HIGH SCHOOL"
"C1268","BARTALA GIRLS HIGH SCHOOL"
"C1269","BARUIPORE GIRLS HIGH SCHOOL"
"C1270","BARUIPORE RASHMONI BALIKA VIDYALAYA"
"C1271","BASANTI ST.TERESA'S GIRLS HIGH SCHOOL"
"C1272","BATANAGAR GIRLS HIGH SCHOOL"
"C1273","BEHALA BANITIRTHA GIRLS HIGH SCHOOL"
"C1274","BEHALA GIRLS HIGH SCHOOL"
"C1275","BEHALA KISHORE BHARATI GIRLS HIGH SCHOOL"
"C1276","BEHALA SHARDA VIDYAPITH FOR GIRLS"
"C1277","BEHALA SHYAMA SUNDARI VIDYAPITH"
"C1278","BHANGORE BALIKA VIDYALAYA"
"C1279","BHERI BHETKAKHALI GIRLS' HIGH SCHOOL"
"C1280","BIDYADHARPUR HIGH SCHOOL FOR GIRLS"
"C1281","BISHNUPUR GRIHASREE SIKSHAYATAN FOR GIRLS"
"C1282","BODRA BALIKA VIDYALAYA"
"C1283","BORAL RISHI RAJNARAYAN GIRLS HIGH SCHOOL"
"C1284","BUDGE BUDGE UCHCHA BALIKA VIDYALAYA"
"C1285","BURUL GIRLS HIGH SCHOOL"
"C1286","CANNING DWARIKA NATH BALIKA VIDYALAYA"
"C1287","CHALKGOPAL SARADA VIDYAPITH FOR GIRLS"
"C1288","CHAMPAHATI GIRLS HIGH SCHOOL"
"C1289","CHATTA KALIKAPUR SUBID ALI GIRLS HIGH SCHOOL"
"C1290","DAKSHIN BARASAT SRI SRI SARADAMONI BALIKA VIDYALAYA"
"C1291","DONGARIA ANUMATI BALIKA VIDYALAYA"
"C1292","GANGAPURI SIKSHA SADAN FOR GIRLS"
